query_id,answer
1,4396 4308 4234 4214 4219 4384 1951 2698 3467 2646
2,2646 2865 4219 4400 1966 4384 1958 4387 4407 4234
3,1909 4234 4308 4328 4396 1910 4362 4219 2646 4446
4,4400 4219 4234 4403 1966 2865 1951 4214 2646 4384
5,1951 3467 4214 4219 4308 3168 4362 2646 4532 4286
6,4361 4309 2928 2214 4219 2646 4387 4384 3750 1954
7,4219 2865 4400 4384 1966 1958 2646 4361 4403 4387
8,1951 4308 4532 3467 2698 1901 4214 4234 4396 1958
9,4451 4214 2698 4290 4447 3314 3478 3483 2665 4366
10,4219 4400 1966 2646 2865 4384 4403 4387 2696 2866
11,4219 4400 2865 1966 2646 4384 2696 4407 4361 4532
12,4219 4400 1966 2865 4384 2646 4387 2943 4361 4440
13,4219 2646 2865 1966 4440 4384 4400 4387 2521 3567
14,4440 2886 4389 3254 2222 2962 4451 3256 2894 4307
15,4361 4219 1966 2646 4234 2865 1909 2037 4400 4384
16,4219 4440 2646 4384 4389 4387 1958 2943 2865 2521
17,1951 4234 4308 2943 4214 1901 2698 4396 2646 3467
18,4219 2646 4234 4400 4308 1951 4384 4403 4361 4214
19,1951 4219 2646 4308 4234 3467 2698 2665 4384 4361
20,4219 4400 2865 2646 1966 4384 4403 4387 2696 1958
21,4214 4219 2698 2646 4451 2665 4384 1951 4366 4389
22,4440 4234 2222 4341 4451 3862 4445 3889 4433 2220
23,4286 4328 4396 4234 1951 1907 1901 4308 4362 3467
24,4219 4440 4389 2646 2865 4384 4387 2521 1958 4361
25,4214 2698 4451 1951 2665 4366 3478 4234 4532 4219
26,4219 2646 4389 4440 4361 2865 1966 4384 3565 4394
27,4219 4387 4384 1966 2646 2865 4440 4400 2521 4509
28,4400 4387 1909 4219 2865 2646 1966 4234 2408 4308
29,4219 2865 1966 2646 4400 4384 2696 3844 4403 2866
30,1951 4320 3467 4219 4234 4308 2646 4214 3861 2232
31,4234 4308 1909 4219 1958 4400 1951 2646 4361 4328
32,4219 4389 2646 3565 4440 4384 4397 4395 4387 2865
33,4219 1966 2646 2865 4440 4384 4400 2696 2521 1958
34,4219 2865 1966 2646 4384 4400 3844 4361 4406 2696
35,4396 4286 4328 4234 1951 4308 1901 2698 1907 3467
36,4219 4387 2646 4384 2865 1966 4532 3567 4400 4509
37,4219 4387 2646 2865 1966 4400 4384 4403 1958 2408
38,4219 1966 2646 4440 2865 4400 4384 3470 4387 3078
39,1951 4234 3467 4308 4532 4328 4362 1909 4361 2698
40,4219 2646 4234 4361 4233 4308 4384 4389 3078 4331
41,4234 2646 4387 4219 4400 4214 4308 4362 4384 1951
42,2646 4387 4219 4400 2865 1966 4384 4234 1958 4308
43,4234 4308 4219 4396 4328 1909 2646 1951 1901 2698
44,4219 1966 2865 2646 4384 4400 4406 2696 3844 3567
45,4219 2865 2646 1966 4406 4384 1958 4361 4387 3844
46,2665 4214 1951 2698 4234 4308 3553 4398 2646 4366
47,4234 1909 2646 4308 4361 4406 4219 4446 1951 3470
48,4219 1966 4387 4384 2646 2865 4440 3470 4400 4509
49,4308 4219 2646 1909 4234 4214 1960 4396 2665 4328
50,1951 4234 3467 4328 4308 4361 2646 1909 1907 4219
51,4395 4219 2646 4214 4424 3026 4389 2665 4440 4387
52,4219 4395 4214 2646 2665 4424 4234 4384 2698 4308
53,4219 2646 4389 4361 3565 4400 2511 1958 4440 4403
54,4234 4214 4424 4395 1951 4361 2646 4219 2665 3478
55,1951 3467 4308 4320 4214 4532 2698 4234 3168 4362
56,4403 1909 4308 4234 4400 2646 4387 4219 4328 4396
57,4423 3028 2223 2920 4399 4440 4400 3256 2904 2906
58,4219 4384 2646 4440 4389 4361 1966 2865 3470 3078
59,4219 2646 2865 1966 4384 1958 4406 3844 4400 4387
60,4219 1966 2646 4400 2865 4384 4387 4407 4403 2696
61,4219 2646 4389 4440 4308 4384 4234 3565 4361 1966
62,4219 1966 2865 4400 2646 4384 4387 3844 4361 2894
63,4400 4387 4219 4403 1966 1958 2831 2865 4234 2408
64,4234 1909 4286 4328 1907 4308 2462 4219 1951 4396
65,4440 2222 4307 2217 3254 4008 3128 2663 2794 2894
66,4440 4276 2222 4266 4316 2894 4134 2886 2204 3932
67,4219 2646 4440 4384 4361 4326 4313 1966 3470 3078
68,4440 2222 4008 2202 2663 2661 4420 2217 2203 2968
69,4219 2646 4400 1966 2865 4361 4384 4403 2943 2866
70,4234 4328 1909 4396 1907 4286 4308 1951 3265 4362
71,2646 4234 4219 4214 4308 1951 4400 4396 4384 2698
72,2698 4234 4214 1951 4308 3467 4362 4361 4219 1907
73,4440 2220 2894 2968 2886 2696 4389 3254 4316 2288
74,4219 2865 1966 4400 2646 4384 4403 4407 4361 3844
75,4219 2646 4234 4361 4308 4384 1909 1966 2943 2865
76,4234 4396 4308 2698 4214 1907 4328 1951 1901 4219
77,1951 4396 4234 3467 4328 4308 4400 4214 4219 1909
78,1909 4234 4328 4396 4308 3265 4362 4331 1910 4446
79,4219 2865 1966 2646 4384 4406 1958 3844 4400 4387
80,1951 4320 3861 2405 3467 4214 2232 4319 2902 4317
81,4219 1966 2646 2865 4400 4384 4387 2696 4361 3470
82,4400 4308 4234 4219 4403 4387 1909 2646 2865 1951
83,4234 1951 4361 1907 1909 2646 4219 4400 4396 4308
84,4400 4234 1966 2646 2865 4219 2038 4384 4407 4387
85,4219 2646 4400 2962 2865 1966 1958 4234 4214 4397
86,1951 3467 4234 4320 4214 3861 4308 1958 4366 4361
87,4234 4361 2646 1951 4219 1909 2865 4308 4214 4331
